basketsize, TTreeCompresseionFactor, VpxBranchCompression, DiskMean, RMS, RealTime, CPUTime
4, 1.28, 1.11, 0.107314, 0.000160468, 44.29, 42.50
8, 1.29, 1.12, 0.10322, 0.000287439, 39.05, 38.09
16, 1.31, 1.13, 0.104243, 0.000137238, 37.14, 36.15
32, 1.30, 1.13, 0.101222, 0.000190676, 37.08, 36.16
64, 1.32, 1.13, 0.0987008, 0.000171432, 38.40, 36.50
128, 1.32, 1.13, 0.0991704, 0.000320496, 37.26, 36.33
256, 1.32, 1.13, 0.0985497, 0.000368318, 36.80, 35.89
512, 1.32, 1.13, 0.0940462, 0.000189202, 36.75, 35.79
1024, 1.32, 1.13, 0.0985748, 0.000325715, 36.72, 35.80
  
